Statistic,Name,Team,#,Top 25,year,table_name,East,Team [Click for roster],Wins,Losses,Ties,WP,GB,Payroll,Team | Roster,W,L,T
Stolen Bases,Rajai Davis,Cleveland,43,Top 25,2016,2016 American League Player Review,,,,,,,,,,,,
Total Bases,Mookie Betts,Boston,359,Top 25,2016,2016 American League Player Review,,,,,,,,,,,,
Triples,Adam Eaton,Chicago,9,Top 25,2016,2016 American League Player Review,,,,,,,,,,,,
Statistic,Name,Team,#,Top 25,2016,2016 American League Player Review,,,,,,,,,,,,
Complete Games,Chris Sale,Chicago,6,Top 25,2016,2016 American League Pitcher Review,,,,,,,,,,,,
ERA,Aaron Sanchez,Toronto,3.00,Top 25,2016,2016 American League Pitcher Review,,,,,,,,,,,,
Games,Bryan Shaw,Cleveland,75,Top 25,2016,2016 American League Pitcher Review,,,,,,,,,,,,
Saves,Zach Britton,Baltimore,47,Top 25,2016,2016 American League Pitcher Review,,,,,,,,,,,,
Shutouts,Corey Kluber,Cleveland,2,Top 25,2016,2016 American League Pitcher Review,,,,,,,,,,,,
Strikeouts,Justin Verlander,Detroit,254,Top 25,2016,2016 American League Pitcher Review,,,,,,,,,,,,
Winning Percentage,Aaron Sanchez,Toronto,.882,Top 25,2016,2016 American League Pitcher Review,,,,,,,,,,,,
Wins,Rick Porcello,Boston,22,Top 25,2016,2016 American League Pitcher Review,,,,,,,,,,,,
Statistic,Name,Team,#,Top 25,2016,2016 American League Pitcher Review,,,,,,,,,,,,
,,,,,2016,2016 American League,Boston Red Sox,93,69,0,.574,--,$,,,,,
,,,,,2016,2016 American League,Baltimore Orioles,89,73,0,.549,4,$,,,,,
,,,,,2016,2016 American League,Toronto Blue Jays,89,73,0,.549,4,$,,,,,
,,,,,2016,2016 American League,New York Yankees,84,78,0,.519,9,$,,,,,
,,,,,2016,2016 American League,Tampa Bay Rays,68,94,0,.420,25,$,,,,,
,,,,,2016,2016 American League,Central,Team [Click for roster],Wins,Losses,Ties,WP,GB,Payroll,,,,
,,,,,2016,2016 American League,Cleveland Indians,94,67,0,.584,--,$,,,,,
,,,,,2016,2016 American League,Detroit Tigers,86,75,0,.534,8,$,,,,,
,,,,,2016,2016 American League,Kansas City Royals,81,81,0,.500,13.5,$,,,,,
,,,,,2016,2016 American League,Chicago White Sox,78,84,0,.481,16.5,$,,,,,
,,,,,2016,2016 American League,Minnesota Twins,59,103,0,.364,35.5,$,,,,,
,,,,,2016,2016 American League,West,Team [Click for roster],Wins,Losses,Ties,WP,GB,Payroll,,,,
,,,,,2016,2016 American League,Texas Rangers,95,67,0,.586,--,$,,,,,
,,,,,2016,2016 American League,Seattle Mariners,86,76,0,.531,9,$,,,,,
,,,,,2016,2016 American League,Houston Astros,84,78,0,.519,11,$,,,,,
,,,,,2016,2016 American League,Los Angeles Angels,74,88,0,.457,21,$,,,,,
,,,,,2016,2016 American League,Oakland Athletics,69,93,0,.426,26,$,,,,,
,,,,,2016,2016 American League,2016 American League Final Standings,,,,,,,,,,,
,,,,,2016,2016 American League,"Seasonal Events: All-Star Game | Home Run Derby | World Series
Navigation: Year in Review Menu | Previous Season | Next Season
Miscellaneous: N.L. Leaderboard | Rookies List",,,,,,,,,,,
Base on Balls,Aaron Judge,New York Yankees,127,Top 25,2017,2017 American League Player Review,,,,,,,,,,,,
Batting Average,Jose Altuve,Houston Astros,.346,Top 25,2017,2017 American League Player Review,,,,,,,,,,,,
Doubles,Jose Ramirez,Cleveland Indians,56,Top 25,2017,2017 American League Player Review,,,,,,,,,,,,
Hits,Jose Altuve,Houston Astros,204,Top 25,2017,2017 American League Player Review,,,,,,,,,,,,
Home Runs,Aaron Judge,New York Yankees,52,Top 25,2017,2017 American League Player Review,,,,,,,,,,,,
On Base Percentage,Mike Trout,Los Angeles Angels,.442,Top 25,2017,2017 American League Player Review,,,,,,,,,,,,
RBI,Nelson Cruz,Seattle Mariners,119,Top 25,2017,2017 American League Player Review,,,,,,,,,,,,
Runs,Aaron Judge,New York Yankees,128,Top 25,2017,2017 American League Player Review,,,,,,,,,,,,
Slugging Average,Mike Trout,Los Angeles Angels,.629,Top 25,2017,2017 American League Player Review,,,,,,,,,,,,
Stolen Bases,Whit Merrifield,Kansas City Royals,34,Top 25,2017,2017 American League Player Review,,,,,,,,,,,,
Total Bases,Jose Abreu,Chicago White Sox,343,Top 25,2017,2017 American League Player Review,,,,,,,,,,,,
Triples,Nick Castellanos,Detroit Tigers,10,Top 25,2017,2017 American League Player Review,,,,,,,,,,,,
Statistic,Name,Team,#,Top 25,2017,2017 American League Player Review,,,,,,,,,,,,
2017 A.L. History | 2017 N.L. History | Year-by-Year History,,,,,2017,2017 American League Player Review,,,,,,,,,,,,
Complete Games,Corey Kluber,Cleveland Indians,5,Top 25,2017,2017 American League Pitcher Review,,,,,,,,,,,,
Ervin Santana,Minnesota Twins,5,,,2017,2017 American League Pitcher Review,,,,,,,,,,,,
ERA,Corey Kluber,Cleveland Indians,2.25,Top 25,2017,2017 American League Pitcher Review,,,,,,,,,,,,
Games,Bryan Shaw,Cleveland Indians,79,Top 25,2017,2017 American League Pitcher Review,,,,,,,,,,,,
Saves,Alex Colome,Tampa Bay Rays,46,Top 25,2017,2017 American League Pitcher Review,,,,,,,,,,,,
Shutouts,Corey Kluber,Cleveland Indians,3,Top 25,2017,2017 American League Pitcher Review,,,,,,,,,,,,
Ervin Santana,Minnesota Twins,3,,,2017,2017 American League Pitcher Review,,,,,,,,,,,,
Strikeouts,Chris Sale,Boston Red Sox,308,Top 25,2017,2017 American League Pitcher Review,,,,,,,,,,,,
Winning Percentage,Corey Kluber,Cleveland Indians,.818,Top 25,2017,2017 American League Pitcher Review,,,,,,,,,,,,
Wins,Carlos Carrasco,Cleveland Indians,18,Top 25,2017,2017 American League Pitcher Review,,,,,,,,,,,,
Corey Kluber,Cleveland Indians,18,,,2017,2017 American League Pitcher Review,,,,,,,,,,,,
Jason Vargas,Kansas City Royals,18,,,2017,2017 American League Pitcher Review,,,,,,,,,,,,
Statistic,Name,Team,#,Top 25,2017,2017 American League Pitcher Review,,,,,,,,,,,,
2017 A.L. History | 2017 N.L. History | Year-by-Year History,,,,,2017,2017 American League Pitcher Review,,,,,,,,,,,,
,,,,,2017,2017 American League Team Standings,Boston Red Sox,,69,0,.574,--,,,93,,,
,,,,,2017,2017 American League Team Standings,New York Yankees,,71,0,.562,2.0,,,91,,,
,,,,,2017,2017 American League Team Standings,Tampa Bay Rays,,82,0,.494,13.0,,,80,,,
,,,,,2017,2017 American League Team Standings,Toronto Blue Jays,,86,0,.469,17.0,,,76,,,
,,,,,2017,2017 American League Team Standings,Baltimore Orioles,,87,0,.463,18.0,,,75,,,
,,,,,2017,2017 American League Team Standings,Central,,Wins,Losses,Ties,WP,GB,,Team | Roster,,,
,,,,,2017,2017 American League Team Standings,Cleveland Indians,,60,0,.630,--,,,102,,,
,,,,,2017,2017 American League Team Standings,Minnesota Twins,,77,0,.525,17.0,,,85,,,
,,,,,2017,2017 American League Team Standings,Kansas City Royals,,82,0,.494,22.0,,,80,,,
,,,,,2017,2017 American League Team Standings,Chicago White Sox,,95,0,.414,35.0,,,67,,,
,,,,,2017,2017 American League Team Standings,Detroit Tigers,,98,0,.395,38.0,,,64,,,
,,,,,2017,2017 American League Team Standings,West,,Wins,Losses,Ties,WP,GB,,Team | Roster,,,
,,,,,2017,2017 American League Team Standings,Houston Astros,,61,0,.623,--,,,101,,,
,,,,,2017,2017 American League Team Standings,Los Angeles Angels,,82,0,.494,21.0,,,80,,,
,,,,,2017,2017 American League Team Standings,Seattle Mariners,,84,0,.481,23.0,,,78,,,
,,,,,2017,2017 American League Team Standings,Texas Rangers,,84,0,.481,23.0,,,78,,,
,,,,,2017,2017 American League Team Standings,Oakland Athletics,,87,0,.463,26.0,,,75,,,
,,,,,2017,2017 American League Team Standings,A.L.,,Wins,Losses,Ties,WP,GB,,Team | Roster,,,
,,,,,2017,2017 American League Team Standings,2017 American League Final Standings,,,,,,,,,,,
Base on Balls,Mike Trout,Los Angeles Angels,122,Top 25,2018,2018 American League Player Review,,,,,,,,,,,,
Batting Average,Mookie Betts,Boston Red Sox,.346,Top 25,2018,2018 American League Player Review,,,,,,,,,,,,
Doubles,Alex Bregman,Houston Astros,50,Top 25,2018,2018 American League Player Review,,,,,,,,,,,,
Hits,Whit Merrifield,Kansas City Royals,192,Top 25,2018,2018 American League Player Review,,,,,,,,,,,,
Home Runs,Khris Davis,Oakland Athletics,48,Top 25,2018,2018 American League Player Review,,,,,,,,,,,,
On Base Percentage,Mike Trout,Los Angeles Angels,.460,Top 25,2018,2018 American League Player Review,,,,,,,,,,,,
RBI,J.D. Martinez,Boston Red Sox,130,Top 25,2018,2018 American League Player Review,,,,,,,,,,,,
Runs,Mookie Betts,Boston Red Sox,129,Top 25,2018,2018 American League Player Review,,,,,,,,,,,,
Slugging Average,Mookie Betts,Boston Red Sox,.640,Top 25,2018,2018 American League Player Review,,,,,,,,,,,,
Stolen Bases,Whit Merrifield,Kansas City Royals,45,Top 25,2018,2018 American League Player Review,,,,,,,,,,,,
Total Bases,J.D. Martinez,Boston Red Sox,358,Top 25,2018,2018 American League Player Review,,,,,,,,,,,,
